"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","fmfo_dhc_ratio","dhc_fmfo_ratio"
2017,"Belize","Zinc",16169836.7120734,15801669.7046407,0,NA,Inf,0
2017,"Brunei Darussalam","Calcium",4310657391.8788,3631475023.92307,0,6011.95614327748,Inf,0
2017,"Brunei Darussalam","DHA+EPA",24341956.8579611,8611672.15934432,0,69.5920523954166,Inf,0
2017,"Brunei Darussalam","Iron",76890067.6944215,24115550.0879872,0,344.601013928165,Inf,0
2017,"Brunei Darussalam","Protein",668268759.973268,199581551.49728,0,2224.29291325525,Inf,0
2017,"Brunei Darussalam","Vitamin A, RAE",2650018206.22953,310956767.066189,0,735720.844081136,Inf,0
2017,"Brunei Darussalam","Vitamin B12",99759722.4286293,20814784.3361392,0,830.957151762766,Inf,0
2017,"Brunei Darussalam","Zinc",42100828.0585236,29111123.2830385,0,267.70399828447,Inf,0
2017,"Cameroon","Calcium",68285973007.2823,1669713536.1393,0,440758.402440235,Inf,0
2017,"Cameroon","DHA+EPA",248179192.109353,9543876.16746207,0,3734.43165353843,Inf,0
2017,"Cameroon","Iron",566839600.608389,27513782.7750136,0,6073.01837172346,Inf,0
2017,"Cameroon","Protein",5179405728.60304,228556970.542626,0,53528.0174993806,Inf,0
2017,"Cameroon","Vitamin A, RAE",7746431510.30114,400515522.05362,0,35787.7186704901,Inf,0
2017,"Cameroon","Vitamin B12",762850776.352712,26046153.1362525,0,20459.2730023286,Inf,0
2017,"Cameroon","Zinc",232952545.244277,11172374.901842,0,2905.97967258966,Inf,0
2017,"Congo, R. of","Calcium",4976432661.52022,31930559.495724,0,635827.093309582,Inf,0
2017,"Congo, R. of","DHA+EPA",58387971.7399339,215709.098724517,0,9241.39205434132,Inf,0
2017,"Congo, R. of","Iron",49460368.6311716,579944.150074572,0,11979.0491039797,Inf,0
2017,"Congo, R. of","Protein",682950659.507277,6265320.22836623,0,108672.341436195,Inf,0
2017,"Congo, R. of","Vitamin A, RAE",830973732.58177,9087392.73073824,0,56590.5818736755,Inf,0
2017,"Congo, R. of","Vitamin B12",152364770.931933,711527.415595655,0,41848.3184987937,Inf,0
2017,"Congo, R. of","Zinc",27991309.6790016,253104.078393623,0,5049.92172946268,Inf,0
2017,"Côte d'Ivoire","Calcium",4942160522.84345,606213563.870193,0,NA,Inf,0
2017,"Côte d'Ivoire","DHA+EPA",29270269.572148,7911610.18292229,0,NA,Inf,0
2017,"Côte d'Ivoire","Iron",59441805.3989389,5045393.53314855,0,NA,Inf,0
2017,"Côte d'Ivoire","Protein",549112544.986904,87745861.248027,0,NA,Inf,0
2017,"Côte d'Ivoire","Vitamin A, RAE",2237323929.61209,116957122.72475,0,NA,Inf,0
2017,"Côte d'Ivoire","Vitamin B12",110014077.527072,7462331.75998294,0,NA,Inf,0
2017,"Côte d'Ivoire","Zinc",26270422.73178,2735420.66943051,0,NA,Inf,0
2017,"Curacao","Calcium",17010432073.3783,38499527635.5098,0,NA,Inf,0
2017,"Curacao","DHA+EPA",109837817.611169,129875199.440432,0,NA,Inf,0
2017,"Curacao","Iron",312923370.6353,263412561.147363,0,NA,Inf,0
2017,"Curacao","Protein",2590931761.57081,2570715252.23816,0,NA,Inf,0
2017,"Curacao","Vitamin A, RAE",4595777472.16177,2164286169.7048,0,NA,Inf,0
2017,"Curacao","Vitamin B12",299714931.758418,245813318.301937,0,NA,Inf,0
2017,"Curacao","Zinc",129657214.721244,82187815.6192405,0,NA,Inf,0
2017,"Dominica","Calcium",455075545.236082,377972255.175788,0,39.9361247167752,Inf,0
